SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
500002,ABB,ABB India Limited,ABB India Limited
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Aegis Logistics Ltd.
500008,ARE&M,Amara Raja Energy & Mobility Ltd,Amara Raja Energy & Mobility Limited
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,"Ambalal Sarabhai Enterprise Ltd.,"
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,"Andhra Petrochemicals Ltd.,"
500014,UTIQUE,Utique Enterprises Ltd,UTIQUE ENTERPRISES LIMITED
500016,ARUNAHTEL,ARUNA HOTELS LTD.,Aruna Hotels Ltd.
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,"Bombay Dyeing & Mfg. Co. Ltd.,"
500023,ASIANHOTNR,Asian Hotels (North) Limited,Asian Hotels (North) Limited
500027,ATUL,ATUL LTD.,"Atul Limited.,"
500028,ATVPR,ATV PROJECTS INDIA LTD.,ATV Projects India Ltd
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,"Bajaj Electricals Ltd.,"
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Bajaj Hindusthan Sugar Limited
500033,FORCEMOT,FORCE MOTORS LTD.-$,Force Motors Limited
500034,BAJFINANCE,Bajaj Finance Limited,Bajaj Finance Limited
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Balrampur Chini Mills Ltd.
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,"Banco Products (India) Ltd.,"
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,"Century Textiles & Industries Ltd.,"
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,"Bannari Amman Sugars Ltd.,"
500042,BASF,BASF INDIA LTD.,BASF India Ltd
500043,BATAINDIA,BATA INDIA LTD.,Bata India Limited
500048,BEML,BEML LTD.,BEML Ltd
500049,BEL,BHARAT ELECTRONICS LTD.,"Bharat Electronics Ltd.,"
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,"Bhansali Engineering Polymers Ltd.,"
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Bihar Sponge Iron Ltd
500059,BINANIIND,BINANI INDUSTRIES LTD.,Binani Industries Limited
500060,BIRLACABLE,Birla Cable Ltd,Birla Cable Limited
500067,BLUESTARCO,BLUE STAR LTD.,Blue Star Ltd
500068,DISAQ,DISA INDIA LTD.,Disa India Ltd.
500069,QUESTCAP,Quest Capital Markets Ltd,QUEST CAPITAL MARKETS LIMITED
500074,BPL,BPL LTD.,"BPL Ltd.,"
500078,OAL,Oriental Aromatics Ltd-$,ORIENTAL AROMATICS LIMITED
500083,CENTEXT,CENTURY EXTRUSIONS LTD.,"Century Extrusions Ltd.,"
500084,CESC,CESC LTD.,"CESC Limited,"
500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Chambal Fertilisers & Chemicals Ltd
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,"Exide Industries Ltd.,"
500087,CIPLA,CIPLA LTD.,"Cipla Ltd.,"
500089,DICIND,DIC INDIA LTD.,DIC India Ltd
500092,CRISIL,CRISIL LTD.,CRISIL Ltd.
500093,CGPOWER,CG Power and Industrial Solutions Ltd,CG Power and Industrial Solutions Limited
500096,DABUR,DABUR INDIA LTD.,Dabur India Ltd.
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Dalmia Bharat Sugar and Industries Ltd
500101,ARVIND,ARVIND LTD.,"Arvind Ltd.,"
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,"Bharat Heavy Electricals Ltd.,"
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Hindustan Petroleum Corporation Ltd
500106,IFCI,IFCI LTD.,IFCI Ltd.
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Mahanagar Telephone Nigam Ltd.
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Mangalore Refinery & Petrochemicals
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Chennai Petroleum Corporation Ltd.
500112,SBIN,STATE BANK OF INDIA,"State Bank Of India,"
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,"Steel Authority of India Ltd.,"
500114,TITAN,Titan Company Limited,Titan Company Limited
500116,IDBI,IDBI BANK LTD.,IDBI Bank Ltd
500117,DCW,DCW LTD.,"DCW Ltd.,"
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,"Dhampur Sugar Mills Ltd.,"
500120,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,"Diamines & Chemicals Ltd.,"
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Elantas Beck India Ltd
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,"Dr. Reddy's Laboratories Ltd.,"
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,"E.I.D. Parry (India) Ltd.,"
500126,PGHL,Procter & Gamble Health Ltd,PROCTER & GAMBLE HEALTH LIMITED
500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,"Electrosteel Castings Ltd.,"
500133,ESABINDIA,ESAB INDIA LTD.,Esab India Ltd.
500135,EPL,EPL Ltd,EPL LIMITED
500136,ESTER,ESTER INDUSTRIES LTD.,"Ester Industries Ltd.,"
500142,FGP,FGP LTD.,FGP Ltd
500143,PHCAP,PH CAPITAL LTD.,P.H. Capital Ltd.
500144,FINCABLES,FINOLEX CABLES LTD.,"Finolex Cables Ltd.,"
500147,COCKERILL,John Cockerill India Ltd-$,JOHN COCKERILL INDIA LIMITED
500148,UFLEX,UFLEX LTD.,Uflex Limited
500150,FOSECOIND,FOSECO INDIA LTD.,Foseco India Ltd
500153,GANESHBE,GANESH BENZOPLAST LTD.,"Ganesh Benzoplast Ltd.,"
500159,METROGLOBL,Metroglobal Limited,Metroglobal Limited
500160,GTL,GTL LTD.,GTL Ltd
500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,"Godfrey Phillips India Ltd.,"
500164,GODREJIND,GODREJ INDUSTRIES LTD.,Godrej Industries Ltd.
500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Kansai Nerolac Paints
500166,GOODRICKE,GOODRICKE GROUP LTD.,"Goodricke Group Ltd.,"
500168,GOODYEAR,GOODYEAR INDIA LTD.,"Goodyear India Ltd.,"
500170,GTNINDS,GTN INDUSTRIES LTD.,GTN Industries Limited
500171,GHCL,GHCL LTD.,GHCL Ltd.
500173,GFLLIMITED,GFL Ltd,GFL LIMITED
500174,GLFL,GUJARAT LEASE FINANCING LTD.,"Gujarat Lease Financing Limited,"
500179,HCL-INSYS,HCL INFOSYSTEMS LTD.,HCL Infosystems Ltd
500180,HDFCBANK,HDFC Bank Ltd,HDFC Bank Ltd.
500182,HEROMOTOCO,HERO MOTOCORP LTD.,Hero MotoCorp Limited
500183,HFCL,HFCL Ltd,HFCL LIMITED
500184,HSCL,Himadri Speciality Chemical Ltd,Himadri Speciality Chemical Ltd.
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,"Hindustan Construction Co. Ltd.,"
500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Hindustan Oil Exploration Co. Ltd.
500187,AGI,Agi Greenpac Ltd,AGI GREENPAC LIMITED
500188,HINDZINC,HINDUSTAN ZINC LTD.,"Hindustan Zinc Ltd.,"
500189,NDLVENTURE,NDL Ventures Ltd,NDL Ventures Limited
500191,HMT,HMT LTD.,HMT Limited
500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Prag Bosimi Synthetics Ltd.
500193,HLVLTD,HLV Ltd,HLV LIMITED
500199,IGPL,I G PETROCHEMICALS LTD.,IG Petrochemicals Ltd
500201,INDIAGLYCO,INDIA GLYCOLS LTD.,India Glycols Ltd
500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,"India Lease Devl. Ltd.,"
500206,MARGOFIN,Margo Finance Limited,Margo Finance Limited
500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,"Indo Rama Synthetics (India) Ltd.,"
500209,INFY,INFOSYS LTD.,Infosys Ltd
500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Ingersoll-Rand (India) Ltd.
500213,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,International Travel House Ltd
500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Ion Exchange (India) Ltd
500215,ATFL,AGRO TECH FOODS LTD.,Agro Tech Foods Ltd
500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,"Jain Irrigation Systems Ltd.,"
500220,JASCH,JASCH INDUSTRIES LTD.,Jasch Industries Ltd.
500223,JCTLTD,JCT LTD.,JCT Ltd
500227,JINDALPOLY,JINDAL POLY FILMS LTD.,Jindal Poly Films Ltd.
500228,JSWSTEEL,JSW STEEL LTD.,JSW Steel Limited
500231,UMANGDAIRY,UMANG DAIRIES LTD.,Umang Dairies Limited
500233,KAJARIACER,KAJARIA CERAMICS LTD.,Kajaria Ceramics Ltd
500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Kakatiya Cement Sugar & Industries Ltd.
500235,KSL,KALYANI STEELS LTD.,Kalyani Steels Ltd
500236,KANELIND,Kanel Industries Limited,Kanel Industries Limited
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Whirlpool of India Ltd
500239,KGDENIM,KG DENIM LTD.,K.G.Denim Ltd
500240,KINETICENG,KINETIC ENGINEERING LTD.,"Kinetic Engineering Ltd.,"
500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,"Kirloskar Brothers Ltd.,"
500243,KIRLOSIND,Kirloskar Industries Ltd,Kirloskar Industries Ltd
500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Kirloskar Ferrous Industries Ltd.
500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Envair Electrodyne Ltd.
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Kotak Mahindra Bank Ltd.
500248,KRIFILIND,Krishna Filament Industries Ltd,KRISHNA FILAMENT INDUSTRIES LIMITED
500249,KSB,KSB Ltd,KSB LIMITED
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,L.g.Balkrishnan & Bros. Ltd.
500251,TRENT,TRENT LTD.,Trent Ltd [Lakme Ltd]
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,"Lakshmi Machine Works Ltd.,"
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,Lic Housing Finance Ltd.
500257,LUPIN,LUPIN LTD.,Lupin Ltd
500259,LYKALABS,LYKA LABS LTD.,"Lyka Labs Ltd.,"
500260,RAMCOCEM,The Ramco Cements Limited,The Ramco Cements Limited
500262,HYBRIDFIN,Hybrid Financial Services Ltd,HYBRID FINANCIAL SERVICES LIMITED
500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,"Mafatlal Industries Ltd.,"
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Maharashtra Seamless Ltd.
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,"Maharashtra Scooters Ltd.,"
500267,MAJESAUT,MAJESTIC AUTO LTD.-$,"Majestic Auto Ltd.,"
500268,MANALIPETC,MANALI PETROCHEMICAL LTD.,"Manali Petrochemicals Ltd.,"
500270,BARODARY,BARODA RAYON CORPORATION LTD.,"Baroda Rayon Corpn. Ltd.,"
500271,MFSL,Max Financial Services Ltd,Max Financial Services Limited
500277,MIDINDIA,MID INDIA INDUSTRIES LTD.,Mid India Industries Limited
500279,MIRCELECTR,MIRC ELECTRONICS LTD.,Mirc Electronics Ltd
500280,CENTENKA,CENTURY ENKA LTD.,"Century Enka Ltd.,"
500282,MODTHREAD,MODERN THREADS (INDIA) LTD.,"Modern Thread (India) Ltd.,"
500284,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Lords Chloro Alkali Ltd
500285,SPICEJET,SPICEJET LTD.,SpiceJet Limited
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.,Morepen Laboratories Ltd.
500290,MRF,MRF LTD.,"M.R.F. Ltd.,"
500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,HeidelbergCement  India Limited
500294,NCC,NCC Limited,NCC Limited
500295,VEDL,Vedanta Limited,Vedanta Limited
500296,NAHARSPING,NAHAR SPINNING MILLS LTD.,"Nahar Spinning Mills Ltd.,"
500298,NAPEROL,Naperol Investments Ltd,Naperol Investments Limited
500300,GRASIM,GRASIM INDUSTRIES LTD.,Grasim Industries Ltd
500302,PEL,PIRAMAL ENTERPRISES LTD.,Piramal Enterprises Limited
500304,NIITLTD,NIIT LTD.,"NIIT Ltd.,"
500306,JAYKAY,JAYKAY ENTERPRISES LTD.,Jaykay Enterprises Limited
500307,NIRLON,NIRLON LTD.,"Nirlon Limited,"
500312,ONGC,Oil and Natural Gas Corporation Ltd,Oil And Natural Gas Corporation Ltd
500313,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Oil Country Tubular Ltd.
500314,ORIENTHOT,ORIENTAL HOTELS LTD.,"Oriental Hotels Ltd.,"
500317,OSWALAGRO,OSWAL AGRO MILLS LTD.,"Oswal Agro Mills Ltd.,"
500319,INDSUCR,INDIAN SUCROSE LTD.,Indian Sucrose Ltd.
500322,PANCM,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,Panyam Cements & Mineral Inds. Ltd.
500325,RELIANCE,RELIANCE INDUSTRIES LTD.,Reliance Industries Ltd
500327,PILITA,Pil Italica Lifestyle Ltd,Pil Italica Lifestyle Limited
500330,RAYMOND,RAYMOND LTD.,Raymond Limited
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.,Pidilite Industries Ltd.
500333,PIXTRANS,PIX TRANSMISSIONS LTD.,"Pix Transmissions Ltd.,"
500335,BIRLACORPN,BIRLA CORPORATION LTD.,Birla Corporation Ltd.
500336,SURYAROSNI,SURYA ROSHNI LTD.,"Surya Roshni Ltd.,"
500337,PRIMESECU,PRIME SECURITIES LTD.,Prime Securities Ltd.
500338,PRSMJOHNSN,Prism Johnson Ltd,PRISM JOHNSON LIMITED.
500339,RAIN,Rain Industries Ltd,Rain Industries Limited
500342,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LTD.,Prudential Sugar Corporation Ltd
500343,AMJLAND,AMJ Land Holdings Ltd,AMJ LAND HOLDINGS LIMITED
500346,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Punjab Communications Limited
500350,RSWM,RSWM LTD.,RSWM Limited
500354,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,"Rajshree Sugars & Chemicals Ltd.,"
500355,RALLIS,RALLIS INDIA LTD.,Rallis India Ltd
500356,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Shree Rama Newsprint Limited
500357,RAMAPPR-B,RAMA PAPER MILLS LTD.,"Rama Paper Mills Limited,"
500358,RAMAPETRO,RAMA PETROCHEMICALS LTD.,Rama Petrochemicals Ltd
500360,RAPICUT,RAPICUT CARBIDES LTD.,"Rapicut Carbides Ltd.,"
500365,WELSPLSOL,Welspun Specialty Solutions Ltd,WELSPUN SPECIALTY SOLUTIONS LIMITED
500367,RUBFILA,RUBFILA INTERNATIONAL LTD.,Rubfila International Ltd.
500368,PATANJALI,Patanjali Foods Ltd,Patanjali Foods Limited
500370,SALORAINTL,SALORA INTERNATIONAL LTD.,Salora International Limited
500378,JINDALSAW,JINDAL SAW LTD.,Jindal Saw Ltd.
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,JK Lakshmi Cement Limited
500387,SHREECEM,SHREE CEMENT LTD.,"Shree Cements Ltd.,"
500388,SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Shree Krishna Paper Mills & Industr
500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Reliance Infrastructure Ltd
500400,TATAPOWER,TATA POWER CO.LTD.,Tata Power Co. Ltd
500402,SPMLINFRA,SPML Infra Limited,SPML Infra Limited
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,"Sundram Fasteners Ltd.,"
500404,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,"Sunflag Iron & Steel Co. Ltd.,"
500405,SPLPETRO,SUPREME PETROCHEM LTD.,Supreme Petrochem Ltd.
500407,SWARAJENG,SWARAJ ENGINES LTD.,Swaraj Engines Ltd.
500408,TATAELXSI,TATA ELXSI LTD.,Tata Elxsi Ltd
500410,ACC,ACC LTD.,ACC Ltd
500411,THERMAX,THERMAX LTD.,Thermax Ltd.
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,"Thirumalai Chemicals Ltd.,"
500413,THOMASCOOK,THOMAS COOK (INDIA) LTD.,"Thomas Cook (India) Ltd.,"
500414,TIMEX,TIMEX GROUP INDIA LTD.-$,Timex Group India Ltd
500418,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Tokyo Plast International Ltd.
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Torrent Pharmaceuticals Ltd.
500421,TPINDIA,TPI INDIA LTD.,"TPI India Ltd.,"
500422,TRANSCHEM,TRANSCHEM LTD.-$,Transchem Limited.
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,Ambuja Cements Ltd.
500426,UTLINDS,UTL Industries Limited,UTL Industries Limited
500429,UNIENTER,UNIPHOS ENTERPRISES LTD.,Uniphos Enterprises Limited.
500439,VHL,VARDHMAN HOLDINGS LTD.,Vardhman Holdings Limited
500440,HINDALCO,HINDALCO INDUSTRIES LTD.,Hindalco Industries Ltd.
500444,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,West Coast Paper Mills Limited
500449,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,"Hindustan Organic Chemicals Ltd.,"
500450,MPILCORPL,MPIL CORPORATION LTD.,MPIL CORPORATION LIMITED
500456,PASUPTAC,PASUPATI ACRYLON LTD.,Pasupati Acrylon Ltd.
500458,KORE,Kore Foods Ltd,Kore Foods Limited
500459,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Procter & Gamble Hygiene & Health Care Ltd.
500460,MUKANDLTD,MUKAND LTD.,"Mukand Ltd.,"
500463,BBOX,Black Box Ltd,BLACK BOX LIMITED
500464,UCAL,Ucal  Ltd,UCAL LIMITED
500467,HARRMALAYA,HARRISONS MALAYALAM LTD.,"Harrisons Malayalam Ltd.,"
500469,FEDERALBNK,FEDERAL BANK LTD.,Federal Bank Ltd.
500470,TATASTEEL,TATA STEEL LTD.,TATA STEEL LIMITED
500472,SKFINDIA,SKF India Ltd,SKF India Ltd.
500477,ASHOKLEY,ASHOK LEYLAND LTD.,"Ashok Leyland Ltd.,"
500480,CUMMINSIND,CUMMINS INDIA LTD.,"Cummins India Ltd.,"
500483,TATACOMM,TATA COMMUNICATIONS LTD.,Tata Communications Limited
500488,ABBOTINDIA,ABBOTT INDIA LTD.,Abbott India Ltd.
500490,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Bajaj Holdings & Investment Limited
500493,BHARATFORG,BHARAT FORGE LTD.,Bharat Forge Ltd
500495,ESCORTS,Escorts Kubota Ltd,Escorts Kubota Limited
500500,HINDMOTORS,HINDUSTAN MOTORS LTD.,"Hindustan Motors Ltd.,"
500510,LT,LARSEN & TOUBRO LTD.,Larsen & Toubro Limited
500520,M&M,MAHINDRA & MAHINDRA LTD.,Mahindra & Mahindra Ltd.
500530,BOSCHLTD,BOSCH LTD.,Bosch Ltd
500540,PREMIER,PREMIER LTD.,Premier Limited
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,"Bharat Petroleum Corpn. Ltd.,"
500550,SIEMENS,SIEMENS LTD.,"Siemens Ltd.,"
500570,TATAMOTORS,TATA MOTORS LTD.,Tata Motors Ltd.
500575,VOLTAS,VOLTAS LTD.,"Voltas Ltd.,"
500620,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,"Great Eastern Shipping Co. Ltd.,"
500645,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Deepak Fertilizers &Petrochemicals
500650,EXCELINDUS,EXCEL INDUSTRIES LTD.,"Excell Industries Ltd.,"
500655,GRWRHITECH,Garware Hi-Tech Films Ltd,GARWARE HI-TECH FILMS LIMITED
500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,GlaxoSmithkline Pharmaceuticals Ltd.
500670,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Gujarat Narmada Valley Fert.Co.Ltd
500672,NOVARTIND,NOVARTIS INDIA LTD.,Novartis India Limited.
500674,SANOFI,Sanofi India Ltd,Sanofi India Ltd
500680,PFIZER,PFIZER LTD.,"Pfizer Ltd.,"
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Gujarat State Fertilizers & Chem.Ltd
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.,"Hindustan Unilever Ltd.,"
500710,AKZOINDIA,Akzo Nobel India Limited,Akzo Nobel India Limited
500730,NOCIL,NOCIL LTD.,NOCIL Ltd
500770,TATACHEM,TATA CHEMICALS LTD.,Tata Chemicals Ltd
500777,TNPETRO,TAMILNADU PETROPRODUCTS LTD.,Tamilnadu Petroproducts Ltd
500780,ZUARIIND,Zuari Industries Ltd,Zuari Industries Limited
500790,NESTLEIND,NESTLE INDIA LTD.,Nestle India Ltd.
500800,TATACONSUM,Tata Consumer Products Ltd,TATA CONSUMER PRODUCTS LIMITED
500820,ASIANPAINT,ASIAN PAINTS LTD.,Asian Paints Ltd.
500825,BRITANNIA,BRITANNIA INDUSTRIES LTD.,"Britannia Industries Ltd.,"
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,"Colgate-Palmolive (India) Ltd.,"
500840,EIHOTEL,EIH LTD.,EIH Ltd
500850,INDHOTEL,INDIAN HOTELS CO.LTD.,Indian Hotels Co. Ltd
500870,CASTROLIND,CASTROL INDIA LTD.,Castrol India Ltd
500875,ITC,ITC LTD.,ITC Ltd
500877,APOLLOTYRE,APOLLO TYRES LTD.,Apollo Tyres Ltd
500878,CEATLTD,CEAT LTD.,"Ceat Ltd.,"
500890,MODIRUBBER,MODI RUBBER LTD.,"Modi Rubber Ltd.,"
500940,FINPIPE,FINOLEX INDUSTRIES LTD.,Finolex Industries Ltd.
501110,SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,"Sunrise Industrial Traders Ltd.,"
501111,ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,"Gold Rock Investments Ltd.,"
501144,PEOPLIN,PEOPLES INVESTMENTS LTD.,"Peoples Investments Ltd.,"
501148,DSINVEST,DALAL STREET INVESTMENTS LTD.,"Dalal Street Investments Ltd.,"
501150,CENTRUM,CENTRUM CAPITAL LTD.,Centrum Capital Limited
501261,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,Kratos Energy & Infrastructure Limited
501270,ANTARIKSH,Antariksh Industries Ltd,ANTARIKSH INDUSTRIES LIMITED
501295,IITL,INDUSTRIAL INVESTMENT TRUST LTD.,"Industrial Investment Trust Ltd.,"
501298,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Industrial & Prudential Inv. Co. Lt
501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,"Tata Investment Corporation Ltd.,"
501311,JAYBHCR,JAYABHARAT CREDIT LTD.-$,"Jayabharat Credit Ltd.,"
501314,PRISMX,Prismx Global Ventures Ltd,PRISMX GLOBAL VENTURES LIMITED
501343,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,Motor & General Finance (M.G.F.) Lt
501351,RAPIDIN,RAPID INVESTMENTS LTD.,"Rapid Investments Ltd.,"
501370,WALCHPF,WALCHAND PEOPLEFIRST LTD.,Walchand Peoplefirst Limited
501386,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,Swastik Safe Deposit & Invest. Ltd.
501391,WHBRADY,W.H.BRADY & CO.LTD.,"W.H. Brady & Co. Ltd.,"
501421,TECHNVISN,TECHNVISION VENTURES LTD.,TechNVision Ventures Limited
501423,SHAILY,SHAILY ENGINEERING PLASTICS LTD.,Shaily Engineering Plastics Ltd.
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,"Bombay Burmah Trading Corpn. Ltd.,"
501430,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,"Bombay Cycle & Motor Agency Ltd.,"
501455,GREAVESCOT,GREAVES COTTON LTD.,Greaves Cotton Ltd.
501477,MULLER,MULLER & PHIPPS (INDIA) LTD.,"Muller & Phipps (India) Ltd.,"
501622,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,"Amalgamated Electricity Co. Ltd.,"
501630,ANANDPROJ,Anand Projects Ltd,Anand Projects Ltd
501700,INDIANVSH,INDIANIVESH LTD.,India Nivesh Limited
501831,COASTCORP,COASTAL CORPORATION LTD.,Coastal Corporation Limited
501833,CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,"Chowgule Steamships Ltd.,"
501848,GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,Global Offshore Services Ltd
502015,ASIIL,ASI Industries Ltd,ASI INDUSTRIES LIMITED
502090,SAGCEM,SAGAR CEMENTS LTD.-$,Sagar Cements Ltd
502133,HEMACEM,HEMADRI CEMENTS LTD.,Hemadri Cements Limited
502137,DECCANCE,DECCAN CEMENTS LTD.-$,"Deccan Cements Ltd.,"
502157,MANGLMCEM,MANGALAM CEMENT LTD.,"Mangalam Cement Ltd.,"
502168,NCLIND,NCL INDUSTRIES LTD.-$,"NCL Industries Limited,"
502175,SAURASHCEM,SAURASHTRA CEMENT LTD.,Saurashtra Cement Limited
502180,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,"Shree Digvijay Cement Co. Ltd.,"
502219,BORORENEW,Borosil Renewables Ltd,BOROSIL RENEWABLES LIMITED
502250,LERTHAI,Lerthai Finance Ltd,LERTHAI FINANCE LIMITED
502281,TRIVENIGQ,TRIVENI GLASS LTD.-$,"Triveni Glass Ltd.,"
502294,NILACHAL,NILACHAL REFRACTORIES LTD.,Nilachal Refractories Ltd.
502330,ANDHRAPAP,Andhra Paper Ltd,ANDHRA PAPER LIMITED
502355,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,"Balkrishna Industries Ltd.,"
502420,ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.,Orient Paper & Industries Ltd.
502445,CITADEL,CITADEL REALTY AND DEVELOPERS LTD.,Citadel Realty And Developers Limited
502448,ROLLT,ROLLATAINERS LTD.,"Rollatainters Ltd.,"
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,"Seshasayee Paper & Boards Ltd.,"
502587,NATHIND,Nath Industries Ltd,NATH INDUSTRIES LIMITED
502589,VAPIENTER,Vapi Enterprise Ltd,VAPI ENTERPRISE LIMITED
502820,DCM,DCM LTD.,"DCM Ltd.,"
502850,ZGAEKWAR,GAEKWAR MILLS LTD.,"Gaekwar Mills Ltd.,"
502865,FORBESCO,FORBES & COMPANY LTD.-$,Forbes & Company Ltd
502873,HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.,"H.P. Cotton Textile Mills Ltd.,"
502893,UNITEDINT,UNITED INTERACTIVE LTD.,United Interactive Limited
502901,JAMSHRI,Jamshri Realty Ltd-$,JAMSHRI REALTY LIMITED
502933,KATRSPG,KATARE SPINNING MILLS LTD.,"Katare Spinning Mills Ltd.,"
